Geography,HOUSE UNIT
0500000US21179,19544
0500000US21181,3314
0500000US21183,10182
0500000US21185,22894
0500000US21187,5364
0500000US21189,1965
0500000US21191,6268
0500000US21193,13183
0500000US21195,28934
0500000US21197,5597
0500000US21199,31542
0500000US21201,1118
0500000US21203,7376
0500000US21205,10486
0500000US21207,10068
0500000US21209,22541
0500000US21211,18587
0500000US21213,8136
0500000US21215,7358
0500000US21217,11183
0500000US21219,5140
0500000US21221,7584
0500000US21223,3856
0500000US21225,5901
0500000US21227,55694
0500000US21229,5190
0500000US21231,10209
0500000US21233,5736
0500000US21235,15448
0500000US21237,3095
0500000US21239,11393
0500000US22001,25034
0500000US22003,9532
0500000US22005,49023
0500000US22007,10030
0500000US22009,18199
0500000US22011,15676
0500000US22013,6932
0500000US22015,55196
0500000US22017,112435
0500000US22019,92202
0500000US22021,4640
0500000US22023,3725
0500000US22025,4482
0500000US22027,6904
0500000US22029,9013
0500000US22031,12403
0500000US22033,202782
0500000US22035,3149
0500000US22037,8085
0500000US22039,14483
0500000US22041,8924
0500000US22043,8996
0500000US22045,30832
0500000US22047,13183
0500000US22049,7254
0500000US22051,193255
0500000US22053,13887
0500000US22055,106978
0500000US22057,40832
0500000US22059,6215
0500000US22061,20297
0500000US22063,57032
0500000US22065,4407
0500000US22067,11961
0500000US22069,18559
0500000US22071,193376
0500000US22073,69676
0500000US22075,9509
0500000US22077,10983
0500000US22079,57889
0500000US22081,3632
0500000US22083,8670
0500000US22085,13554
0500000US22087,17529
0500000US22089,20426
0500000US22091,5226
0500000US22093,8589
0500000US22095,17746
0500000US22097,36702
0500000US22099,23407
0500000US22101,22561
0500000US22103,108851
0500000US22105,56149
0500000US22107,2845
0500000US22109,47042
0500000US22111,10493
0500000US22113,25760
0500000US22115,21968
0500000US22117,21386
0500000US22119,18339
0500000US22121,11247
0500000US22123,4718
0500000US22125,5062
0500000US22127,6451
0500000US23001,49769
0500000US23003,38485
0500000US23005,148178
0500000US23007,20979
0500000US23009,40197
0500000US23011,62538
0500000US23013,24247
0500000US23015,23587
0500000US23017,36176
0500000US23019,74904
0500000US23021,14673
0500000US23023,18880
0500000US23025,29894
0500000US23027,21928
0500000US23029,21795
0500000US23031,111552
0500000US24001,32927
0500000US24003,231310
0500000US24005,348239
0500000US24009,35501
0500000US24011,13466
0500000US24013,65500
0500000US24015,43787
0500000US24017,61718
0500000US24019,16433
0500000US24021,101980
0500000US24023,18509
0500000US24025,102686
0500000US24027,122208
0500000US24029,10344
0500000US24031,401942
0500000US24033,356061
0500000US24035,21172
0500000US24037,45138
0500000US24039,10951
0500000US24041,19597
0500000US24043,63432
0500000US24045,43497
0500000US24047,56225
0500000US24510,293718
0500000US25001,164523
0500000US25003,69575
0500000US25005,242312
0500000US25007,17529
0500000US25009,325228
0500000US25011,34326
0500000US25013,196596
0500000US25015,65784
0500000US25017,653621
0500000US25019,12138
0500000US25021,289052
0500000US25023,213262
0500000US25025,346557
0500000US25027,349131
0500000US26001,10363
0500000US26003,6231
0500000US26005,51536
0500000US26007,15682
0500000US26009,17563
0500000US26011,9530
0500000US26013,5082
0500000US26015,27288
0500000US26017,48552
0500000US26019,12114
0500000US26021,76829
0500000US26023,20720
0500000US26025,59672
0500000US26027,25415
0500000US26029,17448
0500000US26031,17715
0500000US26033,20386
0500000US26035,21997
0500000US26037,32618
0500000US26039,10285
0500000US26041,19855
0500000US26043,13926
0500000US26045,47475
0500000US26047,21719
0500000US26049,184024
0500000US26051,16994
0500000US26053,10442
0500000US26055,45301
0500000US26057,16057
0500000US26059,21465
0500000US26061,18624
0500000US26063,20443
0500000US26065,124935
0500000US26067,24616
0500000US26069,19920
0500000US26071,8932
0500000US26073,28550
0500000US26075,68963
0500000US26077,113570
0500000US26079,11651
0500000US26081,262724
0500000US26083,2288
0500000US26085,13550
0500000US26087,36678
0500000US26089,15359
0500000US26091,43604
0500000US26093,77849
0500000US26095,4070
0500000US26097,10574
0500000US26099,368224
0500000US26101,15527
0500000US26103,33626
0500000US26105,17387
0500000US26107,20888
0500000US26109,13326
0500000US26111,36837
0500000US26113,8698
0500000US26115,65498
0500000US26117,27912
0500000US26119,9006
0500000US26121,74447
0500000US26123,24574
0500000US26125,551642
0500000US26127,15591
0500000US26129,15361
0500000US26131,5295
0500000US26133,12713
0500000US26135,7816
0500000US26137,14841
0500000US26139,113208
0500000US26141,9864
0500000US26143,23243
0500000US26145,86095
0500000US26147,71933
0500000US26149,27163
0500000US26151,21833
0500000US26153,6009
0500000US26155,30224
0500000US26157,23994
0500000US26159,36944
0500000US26161,155927
0500000US26163,793207
0500000US26165,16467
0500000US27001,14235
0500000US27003,136794
0500000US27005,19533
0500000US27007,21277
0500000US27009,17196
0500000US27011,3002
0500000US27013,28950
0500000US27015,11743
0500000US27017,15627
0500000US27019,39815
0500000US27021,24069
0500000US27023,5645
0500000US27025,22170
0500000US27027,26711
0500000US27029,4471
0500000US27031,5922
0500000US27033,5166
0500000US27035,41416
0500000US27037,171799
0500000US27039,8254
0500000US27041,21640
0500000US27043,6924
0500000US27045,9614
0500000US27047,14139
0500000US27049,20796
0500000US27051,3182
0500000US27053,550254
0500000US27055,8710
0500000US27057,14684
0500000US27059,16380
0500000US27061,25660
0500000US27063,4933
0500000US27065,7731
0500000US27067,19927
0500000US27069,2318
0500000US27071,7459
0500000US27073,3487
0500000US27075,7393
0500000US27077,3414
0500000US27079,12760
0500000US27081,3066
0500000US27083,11138
0500000US27085,15773
0500000US27087,2582
0500000US27089,4466
0500000US27091,9797
0500000US27093,10589
0500000US27095,12754
0500000US27097,16059
0500000US27099,16893
0500000US27101,4403
0500000US27103,13358
0500000US27105,8420
0500000US27107,3250
0500000US27109,68205
0500000US27111,36464
0500000US27113,6621
0500000US27115,16913
0500000US27117,4349
0500000US27119,14651
0500000US27121,6381
0500000US27123,227279
0500000US27125,1881
0500000US27127,7122
0500000US27129,6990
0500000US27131,24930
0500000US27133,4225
0500000US27135,7181
0500000US27137,103599
0500000US27139,53639
0500000US27141,35491
0500000US27143,6452
0500000US27145,65344
0500000US27147,15663
0500000US27149,4217
0500000US27151,4702
0500000US27153,12796
